"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.922476794E1,-2.133210152E-1,-2.105472565E0,2.011273056E-2
2.924948718E1,-1.152231693E-1,-2.388778687E0,5.351953208E-2
2.927423694E1,-2.530351281E-2,-2.310317039E0,5.165625364E-2
2.929895617E1,1.789997518E-2,-1.991648674E0,2.215126529E-2
2.932367541E1,6.268633902E-2,-1.297123909E0,5.201898515E-2
2.934839465E1,9.039922059E-2,-5.065040588E-1,2.167125046E-2
2.937311389E1,6.374667585E-2,3.806076050E-1,-6.983704865E-2
2.939783313E1,1.725753397E-2,1.182504654E0,-1.338720918E-1
2.942255236E1,-1.363314688E-3,1.873038292E0,-1.521560252E-1
2.944727160E1,-1.763708517E-2,2.279806137E0,-8.317872882E-2
2.947202136E1,1.157073863E-2,2.350777626E0,2.414447069E-2
2.949677112E1,9.756533802E-2,2.121922493E0,1.476229727E-1
2.952149035E1,1.752985865E-1,1.595449448E0,1.788799465E-1
2.952149035E1,-8.377813101E-1,-2.491239548E0,4.135801196E-1
2.954620959E1,-9.322975874E-1,-1.166955471E0,2.197443098E-1
2.957095935E1,-1.126822829E0,3.078351021E-1,2.602509260E-1
2.959567858E1,-1.049355984E0,1.872696877E0,1.221586019E-1
2.962039782E1,-7.415239215E-1,3.303568363E0,2.435889840E-2
2.964511706E1,4.699945450E-3,4.597166061E0,-3.415550590E-1
2.966983630E1,8.417004347E-1,5.381105423E0,-4.356647432E-1
2.969458606E1,1.304394126E0,5.486514091E0,-3.959392905E-1
2.971930529E1,1.265033722E0,4.825335503E0,-1.100892425E-1
2.974402453E1,5.919787288E-1,3.397506714E0,2.339182049E-1
2.976874377E1,-1.254131198E-1,1.622698784E0,2.835933566E-1
2.979349353E1,-6.612781286E-1,-2.412080765E-1,2.930285037E-1
2.981821277E1,-8.068683743E-1,-1.863055229E0,1.615110338E-1
2.984293200E1,-6.803233027E-1,-3.258213997E0,9.350398183E-2
2.986765124E1,-4.587477148E-1,-4.191151619E0,5.365477502E-2
2.989237048E1,-3.312612176E-1,-4.557235718E0,1.878459305E-1
2.991708972E1,-2.067932189E-1,-4.375590324E0,4.027374089E-2
2.994183947E1,-2.149997503E-1,-3.608598709E0,1.655277163E-1
2.996655871E1,-6.165012717E-2,-2.378697395E0,1.714848876E-1
2.999127795E1,4.209443927E-2,-7.683238983E-1,1.942775249E-1
3.001602771E1,2.629116178E-1,9.835529327E-1,3.072603643E-1
3.004074695E1,3.806482553E-1,2.657159805E0,2.407824397E-1
3.006546618E1,3.749501407E-1,3.986796379E0,-8.269211650E-2
3.009018542E1,1.665269732E-1,4.698649406E0,-2.358317375E-3
3.011490466E1,-1.146703959E-2,4.851274490E0,-3.485006988E-1
3.013962390E1,-3.552924395E-1,4.282155991E0,7.096713781E-2
3.016434314E1,-4.617599249E-1,3.195172310E0,3.949984908E-2
3.018909289E1,-4.721644223E-1,1.711721420E0,8.570945263E-2
3.021381213E1,-3.829276562E-1,2.322769165E-2,2.975765765E-1
3.023853137E1,-2.156653404E-1,-1.573094368E0,7.083222270E-2
3.026325061E1,-8.714705706E-2,-3.013168335E0,2.246626318E-1
3.028796985E1,-3.717419505E-2,-3.945498466E0,2.237872034E-2
3.031268908E1,-6.134331226E-3,-4.364897728E0,1.353641450E-1
3.033743884E1,-5.566629767E-2,-4.212398529E0,7.539987564E-2
3.036215808E1,-3.431923687E-2,-3.520300865E0,8.260123432E-4
3.038687732E1,-2.186096460E-1,-2.305665970E0,4.648911580E-2
3.041159655E1,-2.717685997E-1,-8.151531219E-1,-1.553735286E-1
3.043631579E1,-4.817830324E-1,8.384819031E-1,6.981604546E-2
3.046106555E1,-3.923773468E-1,2.428543091E0,-1.325365901E-1
3.048578479E1,-2.818503976E-1,3.719911575E0,-1.706689447E-1
3.051050403E1,6.372162700E-2,4.490484238E0,-2.033786476E-1
3.053522326E1,3.412230611E-1,4.645692825E0,-3.631592989E-1
3.055997302E1,4.819950759E-1,4.172788620E0,-2.981717139E-2
3.058469226E1,5.250787735E-1,3.095063210E0,-3.011261672E-2
3.060941150E1,1.906879544E-1,1.556740761E0,8.612839133E-2
