Time,,delta time,accel (Filtered)
9/28/2018 15:36:54.356599,3620993851.8941,0.037497910670936,0.013076
9/28/2018 15:36:54.357100,3620993852.3951,0.037998938933015,0.013531
9/28/2018 15:36:54.357601,3620993852.8961,0.038499967195094,0.014019
9/28/2018 15:36:54.358102,3620993853.3971,0.039000995457172,0.01452
9/28/2018 15:36:54.358594,3620993853.8981,0.039493222720921,0.015014
9/28/2018 15:36:54.359095,3620993854.3991,0.039994250983,0.015481
9/28/2018 15:36:54.359597,3620993854.9001,0.040495907887817,0.015903
9/28/2018 15:36:54.360098,3620993855.4011,0.040996936149895,0.016267
9/28/2018 15:36:54.360599,3620993855.9021,0.041497964411974,0.016559
9/28/2018 15:36:54.361100,3620993856.4031,0.041998992674053,0.016768
9/28/2018 15:36:54.361601,3620993856.9041,0.042500020936132,0.016888
9/28/2018 15:36:54.362102,3620993857.4051,0.04300104919821,0.016914
9/28/2018 15:36:54.362595,3620993857.9061,0.043493905104697,0.016845
9/28/2018 15:36:54.363096,3620993858.4071,0.043994933366776,0.016681
9/28/2018 15:36:54.363597,3620993858.9081,0.044495961628854,0.016427
9/28/2018 15:36:54.364098,3620993859.4091,0.044996989890933,0.016089
9/28/2018 15:36:54.364599,3620993859.9101,0.045498018153012,0.015678
9/28/2018 15:36:54.365101,3620993860.4111,0.045999675057829,0.015209
9/28/2018 15:36:54.365602,3620993860.9121,0.046500703319907,0.014697
9/28/2018 15:36:54.366103,3620993861.4131,0.047001731581986,0.014161
9/28/2018 15:36:54.366595,3620993861.9141,0.047493958845735,0.013621
9/28/2018 15:36:54.367096,3620993862.4151,0.047994987107813,0.013095
9/28/2018 15:36:54.367597,3620993862.9161,0.048496015369892,0.012607
9/28/2018 15:36:54.368099,3620993863.4171,0.048997672274709,0.012175
9/28/2018 15:36:54.368600,3620993863.9181,0.049498700536788,0.011812
9/28/2018 15:36:54.369101,3620993864.4191,0.049999728798866,0.011528
9/28/2018 15:36:54.369602,3620993864.9201,0.050500757060945,0.011333
9/28/2018 15:36:54.370094,3620993865.4211,0.050992984324694,0.011233
9/28/2018 15:36:54.370596,3620993865.9221,0.05149464122951,0.011232
