SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY
0,1.3400E+002,2.6700E+002,1.4532E+000,1.9034E+001,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000
1,1.3400E+002,2.6800E+002,1.3751E+000,1.9006E+001,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000
2,1.3400E+002,2.6900E+002,1.4075E+000,1.9046E+001,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000
3,1.3400E+002,2.7000E+002,1.4504E+000,1.9050E+001,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000
4,1.3400E+002,2.7100E+002,1.2935E+000,1.9154E+001,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000
5,1.3500E+002,2.7100E+002,1.1712E+000,1.4528E+001,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000
6,1.3500E+002,2.7000E+002,1.6144E+000,1.9014E+001,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000
7,1.3500E+002,2.6900E+002,1.6067E+000,1.9004E+001,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000
8,1.3500E+002,2.6800E+002,1.6092E+000,1.8975E+001,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000
9,1.3500E+002,2.6700E+002,1.7181E+000,1.9002E+001,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000
10,1.3600E+002,2.6700E+002,1.0311E+000,3.1795E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000
11,1.3600E+002,2.6800E+002,9.1218E-001,3.1577E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000
12,1.3600E+002,2.6900E+002,9.1239E-001,3.1515E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000
13,1.3600E+002,2.7000E+002,9.1277E-001,3.1569E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000
14,1.3600E+002,2.7100E+002,8.6458E-001,3.1568E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000
15,1.3700E+002,2.7100E+002,2.6964E+000,1.9716E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000
16,1.3700E+002,2.7000E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000
17,1.3700E+002,2.6900E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000
18,1.3700E+002,2.6800E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000
19,1.3700E+002,2.6700E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,5.0000E+000,0.0000E+000
