"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.639709470E-1,-2.162475586E-1,-2.133941650E-1,9.797286987E0,9.801996347E0
1.663513180E-1,-1.875457764E-1,-1.943664551E-1,9.787780762E0,9.791506727E0
1.687316890E-1,-1.923217773E-1,-1.991119385E-1,9.802047729E0,9.805955992E0
1.711120600E-1,-2.019042969E-1,-1.800842285E-1,9.816314697E0,9.820042256E0
1.734619140E-1,-2.114562988E-1,-1.943664551E-1,9.792526245E0,9.796737332E0
1.758422850E-1,-1.971130371E-1,-1.943664551E-1,9.797286987E0,9.801197079E0
1.782226560E-1,-1.827697754E-1,-2.038879395E-1,9.787780762E0,9.791610047E0
1.806030270E-1,-1.875457764E-1,-1.705627441E-1,9.768737793E0,9.772026562E0
1.829833980E-1,-1.971130371E-1,-1.896057129E-1,9.735458374E0,9.739299442E0
1.853637690E-1,-1.875457764E-1,-1.848449707E-1,9.744964600E0,9.748521741E0
1.877441400E-1,-1.779785156E-1,-1.658020020E-1,9.778244019E0,9.781268974E0
1.901245110E-1,-1.923217773E-1,-1.848449707E-1,9.773498535E0,9.777138075E0
1.925048830E-1,-2.210235596E-1,-1.610412598E-1,9.787780762E0,9.791600377E0
1.948547360E-1,-1.875457764E-1,-1.943664551E-1,9.787780762E0,9.791506727E0
1.972351070E-1,-1.875457764E-1,-1.753234863E-1,9.783004761E0,9.786372867E0
1.996154780E-1,-2.019042969E-1,-1.800842285E-1,9.778244019E0,9.781986085E0
2.019958490E-1,-1.636505127E-1,-1.705627441E-1,9.825820923E0,9.828663691E0
2.043762200E-1,-2.019042969E-1,-1.800842285E-1,9.830566406E0,9.834288563E0
2.067565920E-1,-1.923217773E-1,-1.467590332E-1,9.792526245E0,9.795514083E0
2.091369630E-1,-1.588592529E-1,-1.943664551E-1,9.825820923E0,9.829026981E0
2.115173340E-1,-1.636505127E-1,-1.753234863E-1,9.854370117E0,9.857288178E0
2.138977050E-1,-1.827697754E-1,-1.610412598E-1,9.806793213E0,9.809818153E0
2.162780760E-1,-1.684112549E-1,-1.705627441E-1,9.773498535E0,9.776437368E0
2.186584470E-1,-1.779785156E-1,-1.848449707E-1,9.816314697E0,9.819667930E0
2.210388180E-1,-1.779785156E-1,-1.705627441E-1,9.778244019E0,9.781350831E0
2.234191890E-1,-1.779785156E-1,-1.848449707E-1,9.778244019E0,9.781610302E0
2.257995600E-1,-1.492919922E-1,-1.991119385E-1,9.773498535E0,9.776666471E0
2.281799310E-1,-1.636505127E-1,-1.800842285E-1,9.825820923E0,9.828833533E0
2.305603020E-1,-1.732025146E-1,-1.705627441E-1,9.759231567E0,9.762258527E0
2.329101560E-1,-1.445159912E-1,-1.991119385E-1,9.768737793E0,9.771835473E0
2.352905270E-1,-1.732025146E-1,-1.848449707E-1,9.763992310E0,9.767277645E0
2.376708980E-1,-1.540679932E-1,-1.705627441E-1,9.768737793E0,9.771441381E0
2.400512690E-1,-1.492919922E-1,-1.658020020E-1,9.806793213E0,9.809330840E0
2.424316400E-1,-1.636505127E-1,-1.896057129E-1,9.787780762E0,9.790984836E0
2.448120110E-1,-1.684112549E-1,-1.705627441E-1,9.821060181E0,9.823984786E0
2.471923830E-1,-1.349487305E-1,-1.848449707E-1,9.825820923E0,9.828485928E0
2.495727540E-1,-1.684112549E-1,-1.800842285E-1,9.821060181E0,9.824154709E0
2.519531250E-1,-1.492919922E-1,-1.705627441E-1,9.806793213E0,9.809412463E0
2.543029780E-1,-1.540679932E-1,-1.848449707E-1,9.821060181E0,9.824007720E0
2.566833490E-1,-1.445159912E-1,-2.086334229E-1,9.763992310E0,9.767290238E0
2.590637200E-1,-1.732025146E-1,-1.800842285E-1,9.783004761E0,9.786194949E0
2.614440920E-1,-1.684112549E-1,-2.038879395E-1,9.811553955E0,9.815117098E0
2.638244630E-1,-1.875457764E-1,-1.896057129E-1,9.816314697E0,9.819936761E0
2.662048340E-1,-1.492919922E-1,-1.896057129E-1,9.783004761E0,9.785980818E0
2.685852050E-1,-1.636505127E-1,-1.658020020E-1,9.797286987E0,9.800056332E0
2.709655760E-1,-1.636505127E-1,-1.896057129E-1,9.773498535E0,9.776707290E0
2.733154290E-1,-1.588592529E-1,-1.991119385E-1,9.787780762E0,9.791094631E0
2.756958000E-1,-1.779785156E-1,-1.943664551E-1,9.778244019E0,9.781794864E0
2.780761720E-1,-1.684112549E-1,-1.848449707E-1,9.787780762E0,9.790974530E0
2.804565430E-1,-1.779785156E-1,-1.896057129E-1,9.806793213E0,9.810240558E0
2.828369140E-1,-2.019042969E-1,-1.848449707E-1,9.763992310E0,9.767828767E0
2.852172850E-1,-2.114562988E-1,-2.086334229E-1,9.783004761E0,9.787513669E0
2.875976560E-1,-1.779785156E-1,-1.705627441E-1,9.792526245E0,9.795628528E0
2.899780270E-1,-1.923217773E-1,-2.038879395E-1,9.797286987E0,9.801295336E0
2.923278810E-1,-2.066650391E-1,-1.800842285E-1,9.759231567E0,9.763080536E0
2.947082520E-1,-1.923217773E-1,-1.848449707E-1,9.821060181E0,9.824682102E0
2.970886230E-1,-1.732025146E-1,-1.991119385E-1,9.816314697E0,9.819861451E0
2.994689940E-1,-1.827697754E-1,-1.753234863E-1,9.787780762E0,9.791056907E0
3.018493650E-1,-2.210235596E-1,-2.181701660E-1,9.844833374E0,9.849730646E0
3.042297360E-1,-1.875457764E-1,-1.753234863E-1,9.854370117E0,9.857713840E0
3.066101070E-1,-2.019042969E-1,-2.038879395E-1,9.802047729E0,9.806246750E0
3.089904780E-1,-2.114562988E-1,-2.276763916E-1,9.825820923E0,9.830732786E0
3.113708490E-1,-2.162475586E-1,-2.038879395E-1,9.849609375E0,9.854092456E0
3.137207030E-1,-1.684112549E-1,-1.896057129E-1,9.797286987E0,9.800568605E0
3.161010740E-1,-1.923217773E-1,-1.896057129E-1,9.783004761E0,9.786731842E0
3.184814450E-1,-2.066650391E-1,-2.181701660E-1,9.792526245E0,9.797136261E0
3.208618160E-1,-1.923217773E-1,-1.896057129E-1,9.825820923E0,9.829531769E0
3.232421870E-1,-1.875457764E-1,-2.038879395E-1,9.773498535E0,9.777423859E0
3.256225580E-1,-1.971130371E-1,-1.896057129E-1,9.792526245E0,9.796344938E0
3.280029290E-1,-1.636505127E-1,-1.705627441E-1,9.792526245E0,9.795378676E0
3.303833000E-1,-1.588592529E-1,-2.086334229E-1,9.778244019E0,9.781759568E0
3.327331540E-1,-1.827697754E-1,-1.848449707E-1,9.773498535E0,9.776954847E0
3.351135250E-1,-1.684112549E-1,-1.848449707E-1,9.802047729E0,9.805236851E0
3.374938960E-1,-1.684112549E-1,-1.610412598E-1,9.792526245E0,9.795298204E0
3.398742670E-1,-1.875457764E-1,-1.991119385E-1,9.740203857E0,9.744043830E0
3.422546380E-1,-1.732025146E-1,-1.848449707E-1,9.821060181E0,9.824326432E0
3.446350090E-1,-1.588592529E-1,-1.658020020E-1,9.821060181E0,9.823744176E0
3.470153810E-1,-1.684112549E-1,-1.896057129E-1,9.806793213E0,9.810071651E0
3.493957520E-1,-1.349487305E-1,-1.848449707E-1,9.749725342E0,9.752411141E0
3.517456050E-1,-1.492919922E-1,-1.705627441E-1,9.749725342E0,9.752359919E0
3.541259760E-1,-1.588592529E-1,-1.848449707E-1,9.749725342E0,9.752771307E0
3.565063470E-1,-1.827697754E-1,-1.896057129E-1,9.744964600E0,9.748522461E0
3.588867180E-1,-1.588592529E-1,-1.848449707E-1,9.754470825E0,9.757515309E0
3.612670900E-1,-1.684112549E-1,-1.705627441E-1,9.763992310E0,9.766934003E0
3.636474610E-1,-1.492919922E-1,-1.848449707E-1,9.773498535E0,9.776386315E0
3.660278320E-1,-1.588592529E-1,-1.800842285E-1,9.735458374E0,9.738419602E0
3.684082030E-1,-1.827697754E-1,-1.800842285E-1,9.759231567E0,9.762603951E0
3.707885740E-1,-1.875457764E-1,-1.896057129E-1,9.802047729E0,9.805675063E0
3.731384270E-1,-1.732025146E-1,-1.658020020E-1,9.749725342E0,9.752673154E0
3.755187990E-1,-1.779785156E-1,-1.991119385E-1,9.792526245E0,9.796167219E0
3.778991700E-1,-1.971130371E-1,-1.705627441E-1,9.811553955E0,9.815015854E0
3.802795410E-1,-1.923217773E-1,-1.800842285E-1,9.830566406E0,9.834096494E0
3.826599120E-1,-2.019042969E-1,-1.515197754E-1,9.849609375E0,9.852843672E0
3.850402830E-1,-1.875457764E-1,-1.800842285E-1,9.821060181E0,9.824501352E0
3.874206540E-1,-2.114562988E-1,-1.705627441E-1,9.835327148E0,9.839078490E0
3.898010250E-1,-1.732025146E-1,-1.896057129E-1,9.816314697E0,9.819673298E0
3.921508790E-1,-2.162475586E-1,-1.848449707E-1,9.811553955E0,9.815677342E0
3.945312500E-1,-2.162475586E-1,-1.562805176E-1,9.844833374E0,9.848448140E0
3.969116210E-1,-2.114562988E-1,-1.848449707E-1,9.797286987E0,9.801311838E0
3.992919920E-1,-2.258148193E-1,-1.800842285E-1,9.787780762E0,9.792041406E0
4.016723630E-1,-2.114562988E-1,-1.991119385E-1,9.806793213E0,9.811093336E0
4.040527340E-1,-1.971130371E-1,-1.896057129E-1,9.787780762E0,9.791601305E0
4.064331050E-1,-2.258148193E-1,-1.562805176E-1,9.759231567E0,9.763094628E0
4.088134760E-1,-2.162475586E-1,-1.848449707E-1,9.759231567E0,9.763377052E0
4.111633300E-1,-2.019042969E-1,-1.705627441E-1,9.825820923E0,9.829375046E0
4.135437010E-1,-2.066650391E-1,-1.753234863E-1,9.792526245E0,9.796275773E0
4.159240720E-1,-2.066650391E-1,-1.705627441E-1,9.797286987E0,9.800950689E0
4.183044430E-1,-2.019042969E-1,-1.277313232E-1,9.835327148E0,9.838228537E0
4.206848140E-1,-1.923217773E-1,-1.610412598E-1,9.830566406E0,9.833766207E0
4.230651850E-1,-2.066650391E-1,-2.086334229E-1,9.773498535E0,9.777909386E0
4.254455560E-1,-2.066650391E-1,-2.133941650E-1,9.825820923E0,9.830310489E0
4.278259270E-1,-1.684112549E-1,-1.848449707E-1,9.806793213E0,9.809980792E0
4.302062990E-1,-1.588592529E-1,-1.991119385E-1,9.802047729E0,9.805356777E0
4.325561520E-1,-1.971130371E-1,-2.181701660E-1,9.773498535E0,9.777920300E0
4.349365230E-1,-1.732025146E-1,-2.133941650E-1,9.778244019E0,9.782105717E0
4.373168940E-1,-1.827697754E-1,-2.133941650E-1,9.773498535E0,9.777536268E0
4.396972650E-1,-1.301574707E-1,-2.133941650E-1,9.735458374E0,9.738666633E0
4.420776360E-1,-1.875457764E-1,-1.943664551E-1,9.773498535E0,9.777229943E0
4.444580080E-1,-1.445159912E-1,-1.943664551E-1,9.830566406E0,9.833549667E0
4.468383790E-1,-1.492919922E-1,-1.610412598E-1,9.792526245E0,9.794988139E0
4.492187500E-1,-1.732025146E-1,-1.610412598E-1,9.768737793E0,9.771600251E0
4.515686030E-1,-1.445159912E-1,-1.848449707E-1,9.792526245E0,9.795336788E0
4.539489740E-1,-1.636505127E-1,-2.086334229E-1,9.806793213E0,9.810377287E0
4.563293450E-1,-1.397247314E-1,-1.943664551E-1,9.802047729E0,9.804970220E0
4.587097170E-1,-1.779785156E-1,-2.371978760E-1,9.773498535E0,9.777996359E0
4.610900880E-1,-1.732025146E-1,-2.229156494E-1,9.754470825E0,9.758554789E0
4.634704590E-1,-1.445159912E-1,-2.419586182E-1,9.773498535E0,9.777561171E0
4.658508300E-1,-1.540679932E-1,-2.133941650E-1,9.763992310E0,9.767539088E0
4.682312010E-1,-1.397247314E-1,-1.800842285E-1,9.835327148E0,9.837967953E0
4.705810540E-1,-1.540679932E-1,-1.943664551E-1,9.840087891E0,9.843213142E0
4.729614250E-1,-1.445159912E-1,-2.133941650E-1,9.816314697E0,9.819697357E0
4.753417970E-1,-1.684112549E-1,-1.800842285E-1,9.811553955E0,9.814651481E0
4.777221680E-1,-1.492919922E-1,-1.848449707E-1,9.840087891E0,9.842956134E0
4.801025390E-1,-1.492919922E-1,-1.610412598E-1,9.835327148E0,9.837778332E0
4.824829100E-1,-1.540679932E-1,-1.943664551E-1,9.773498535E0,9.776645073E0
4.848632810E-1,-1.540679932E-1,-1.753234863E-1,9.768737793E0,9.771525640E0
4.872436520E-1,-1.636505127E-1,-1.896057129E-1,9.825820923E0,9.829012597E0
4.896240230E-1,-1.445159912E-1,-2.038879395E-1,9.802047729E0,9.805233034E0
4.920043940E-1,-1.540679932E-1,-2.133941650E-1,9.806793213E0,9.810324517E0
4.943847650E-1,-1.492919922E-1,-1.848449707E-1,9.802047729E0,9.804927101E0
4.967651360E-1,-1.732025146E-1,-1.610412598E-1,9.783004761E0,9.785863046E0
4.991455080E-1,-1.827697754E-1,-1.991119385E-1,9.787780762E0,9.791511762E0
5.015258790E-1,-1.827697754E-1,-1.896057129E-1,9.811553955E0,9.815087678E0
5.039062500E-1,-1.636505127E-1,-1.753234863E-1,9.844833374E0,9.847754261E0
5.062866210E-1,-1.923217773E-1,-1.896057129E-1,9.792526245E0,9.796249704E0
5.086669920E-1,-1.875457764E-1,-1.467590332E-1,9.768737793E0,9.771640072E0
5.110168450E-1,-2.019042969E-1,-1.610412598E-1,9.806793213E0,9.810193309E0
5.133972170E-1,-1.827697754E-1,-1.658020020E-1,9.787780762E0,9.790891039E0
5.157775880E-1,-2.019042969E-1,-1.896057129E-1,9.797286987E0,9.801201354E0
5.181579590E-1,-1.827697754E-1,-1.705627441E-1,9.802047729E0,9.805235139E0
5.205383300E-1,-1.875457764E-1,-1.610412598E-1,9.844833374E0,9.847936427E0
5.229187010E-1,-1.684112549E-1,-2.038879395E-1,9.754470825E0,9.758054812E0
5.252990720E-1,-1.875457764E-1,-1.848449707E-1,9.783004761E0,9.786548075E0
5.276794430E-1,-1.875457764E-1,-1.800842285E-1,9.768737793E0,9.772197389E0
5.300292970E-1,-1.923217773E-1,-1.848449707E-1,9.787780762E0,9.791414993E0
5.324096680E-1,-1.779785156E-1,-1.943664551E-1,9.797286987E0,9.800830933E0
5.347900390E-1,-1.684112549E-1,-1.658020020E-1,9.825820923E0,9.828662649E0
5.371704100E-1,-2.162475586E-1,-1.753234863E-1,9.802047729E0,9.806000256E0
5.395507810E-1,-1.827697754E-1,-1.562805176E-1,9.768737793E0,9.771697215E0
5.419311520E-1,-1.923217773E-1,-1.943664551E-1,9.754470825E0,9.758302468E0
5.443115230E-1,-2.066650391E-1,-1.800842285E-1,9.783004761E0,9.786844380E0
5.466918940E-1,-2.066650391E-1,-2.038879395E-1,9.773498535E0,9.777809282E0
5.490722650E-1,-1.684112549E-1,-1.991119385E-1,9.754470825E0,9.757956189E0
5.514221190E-1,-1.732025146E-1,-2.038879395E-1,9.806793213E0,9.810441505E0
5.538024900E-1,-2.019042969E-1,-1.800842285E-1,9.773498535E0,9.777242418E0
5.561828610E-1,-1.971130371E-1,-2.086334229E-1,9.778244019E0,9.782455599E0
5.585632320E-1,-1.971130371E-1,-1.991119385E-1,9.778244019E0,9.782257163E0
5.609436030E-1,-1.827697754E-1,-2.038879395E-1,9.787780762E0,9.791610047E0
5.633239740E-1,-1.732025146E-1,-1.896057129E-1,9.797286987E0,9.800652108E0
5.657043450E-1,-1.636505127E-1,-2.133941650E-1,9.773498535E0,9.777197563E0
5.680847170E-1,-1.875457764E-1,-2.038879395E-1,9.783004761E0,9.786926272E0
5.704345700E-1,-1.588592529E-1,-1.753234863E-1,9.787780762E0,9.790639756E0
5.728149410E-1,-2.019042969E-1,-2.371978760E-1,9.778244019E0,9.783204192E0
5.751953120E-1,-1.923217773E-1,-2.133941650E-1,9.792526245E0,9.796738998E0
5.775756830E-1,-1.779785156E-1,-1.800842285E-1,9.783004761E0,9.786280643E0
5.799560540E-1,-1.827697754E-1,-1.705627441E-1,9.797286987E0,9.800475945E0
5.823364250E-1,-2.019042969E-1,-2.038879395E-1,9.797286987E0,9.801488048E0
5.847167970E-1,-1.827697754E-1,-1.896057129E-1,9.825820923E0,9.829349517E0
5.870971680E-1,-1.588592529E-1,-1.800842285E-1,9.811553955E0,9.814492223E0
5.894470210E-1,-1.827697754E-1,-1.896057129E-1,9.797286987E0,9.800825854E0
5.918273920E-1,-1.540679932E-1,-1.848449707E-1,9.816314697E0,9.819263661E0
5.942077630E-1,-1.492919922E-1,-1.610412598E-1,9.811553955E0,9.814011076E0
5.965881340E-1,-1.732025146E-1,-1.753234863E-1,9.811553955E0,9.814648667E0
5.989685060E-1,-1.827697754E-1,-1.610412598E-1,9.792526245E0,9.795555591E0
6.013488770E-1,-1.732025146E-1,-1.610412598E-1,9.792526245E0,9.795381752E0
